Order_Id,Order_Date,Ship_Date,Customer_Name,Customer_Id,Customer_Segment,Product_Id,Product_Name,Category,Region,State,City,Quantity,Unit_Price,Discount (%),Sales_Amount,Cost_Price,Profit,Payment_Mode,Delivery_Status,Supplier_Name,Supplier_Email,Stock_left,Auto_recorder,Recorder_Quantity
ord10018,25-06-2024,28-06-2024,Randy Arnold,cust7922,Consumer,prod597,pen,office supply,East,Delaware,Rodriguezmouth,10,4435,25,33262.5,28687.57,4574.93,UPI,Returned,"Barnett, Rocha and Meyer",pterry@richard.biz,79,No,0
ord10019,16-04-2024,21-04-2024,Aaron Dixon,cust2940,Home Office,prod185,mobile,electronics,North,Kentucky,North Daniel,7,5792,10,36489.6,31271.95,5217.65,Creditcard,Returned,Herrera PLC,patriciaallen@golden.com,66,No,0
ord10020,14-07-2024,15-07-2024,Kristen Powell,cust8371,Consumer,prod913,book-shelf,furniture,East,Minnesota,Mannville,7,9478,20,53076.8,43309.18,9767.62,UPI,Returned,Johnson-Harmon,michael12@johns.com,10,Yes,47
ord10021,12-06-2025,14-06-2025,Anna Stephenson,cust6989,Consumer,prod902,cooking-oil,grocery,South,Florida,Lake Jamesstad,7,5479,20,30682.4,20032.73,10649.67,Creditcard,Cancelled,Smith Inc,katherinemaldonado@fry-harris.org,59,No,0
ord10022,06-08-2025,08-08-2025,Rachel Foley,cust4818,Corporate,prod920,tablet,electronics,West,Wyoming,Burtonstad,8,8576,10,61747.2,53668.07,8079.13,Creditcard,Delivered,Taylor and Sons,robertreeves@davila-smith.com,2,Yes,87
ord10023,17-03-2025,24-03-2025,Lisa Graves,cust2898,Consumer,prod964,study table,furniture,North,Kansas,Martinezland,6,4178,20,20054.4,17336.94,2717.46,Cash,Returned,Rodriguez Ltd,hansenjohn@wheeler.biz,9,Yes,82
ord10024,06-07-2025,12-07-2025,Sarah Curtis,cust2932,Corporate,prod330,file-folder,office supply,West,Washington,Jameschester,1,4828,25,3621,2519.78,1101.22,UPI,Returned,Jimenez LLC,reyesedwin@smith.org,5,Yes,48
ord10025,29-10-2024,05-11-2024,John Carson,cust4165,Home Office,prod958,calculator,office supply,North,Virginia,South Krista,3,8511,20,20426.4,16089.25,4337.15,Netbanking,Returned,Peters-Mendoza,kfreeman@smith-adams.com,68,No,0
ord10026,27-08-2024,02-09-2024,Adam Henderson,cust7147,Home Office,prod327,juice-pack,grocery,West,Maine,West Nicholas,1,2956,25,2217,1689.44,527.56,UPI,Returned,"Brown, Haley and Porter",youngrandy@gonzalez.com,72,No,0
ord10027,15-09-2024,18-09-2024,Olivia Schwartz,cust6145,Consumer,prod935,tablet,electronics,West,West Virginia,New David,3,9461,20,22706.4,13734.74,8971.66,Cash,Pending,"Swanson, Waters and Avila",ajoyce@ochoa.com,93,No,0
ord10028,28-09-2025,02-10-2025,Jeanne Brown,cust1617,Home Office,prod365,study table,furniture,North,Indiana,Sandovalland,4,4902,5,18627.6,14826.48,3801.12,Creditcard,Pending,Garcia-Johnson,lindsaynorton@marshall.com,34,No,0
ord10029,06-06-2024,10-06-2024,Edward Stephens,cust6244,Home Office,prod251,pen,office supply,North,Maryland,North Brianberg,6,1292,0,7752,6377.27,1374.73,UPI,Delivered,Hernandez Ltd,allensean@west.com,55,No,0
ord10030,07-11-2024,14-11-2024,Darren Mcclure,cust3937,Consumer,prod466,sofa,furniture,South,Virginia,Hollyshire,3,5025,0,15075,10907.52,4167.48,Creditcard,Delivered,Whitaker Inc,chad47@ortiz.com,27,No,0
ord10031,26-08-2024,27-08-2024,Jo Oliver,cust4003,Home Office,prod717,mouse,electronics,West,South Dakota,Mauriceshire,10,7780,0,77800,65343.55,12456.45,UPI,Cancelled,Espinoza-Coleman,fritzchristopher@lutz.com,65,No,0
ord10032,31-01-2025,07-02-2025,Mrs. Karen Harris,cust9941,Home Office,prod313,juice-pack,grocery,North,Mississippi,Michelleport,10,8143,25,61072.5,52999.62,8072.88,Creditcard,Returned,Mcfarland PLC,elaine33@brown.net,50,No,0
ord10033,18-02-2024,24-02-2024,James Brooks,cust6491,Corporate,prod515,study table,furniture,East,Massachusetts,Parsonsshire,5,6702,0,33510,23554.92,9955.08,UPI,Delivered,Hopkins LLC,ashley65@arias-baird.com,44,No,0
ord10034,18-02-2025,19-02-2025,Brian Shelton,cust5095,Home Office,prod433,file-folder,office supply,South,Minnesota,Johnsonmouth,3,3692,25,8307,6873.46,1433.54,Creditcard,Pending,"Valentine, Davis and Clark",david32@anderson.com,97,No,0
ord10035,03-07-2025,07-07-2025,Mrs. Deanna Butler,cust7472,Corporate,prod980,keyboard,electronics,West,Nevada,New Maryville,3,9612,25,21627,15598.27,6028.73,Cash,Pending,"Jordan, Perez and Hudson",mhoward@herrera.com,26,No,0
ord10036,16-07-2025,19-07-2025,Kayla Greene,cust1479,Corporate,prod288,dryfruits,grocery,East,Illinois,West Christine,10,8751,5,83134.5,54375.06,28759.44,Cash,Cancelled,Cobb-Soto,oconnordillon@romero-christian.info,3,Yes,37
ord10037,01-03-2024,03-03-2024,Brandon Stone,cust4755,Corporate,prod784,dryfruits,grocery,West,Virginia,Calhounton,1,7586,25,5689.5,4062.59,1626.91,Cash,Pending,Walker Ltd,pamela57@sanders-peters.com,69,No,0
ord10038,10-01-2025,13-01-2025,Linda Contreras,cust8356,Corporate,prod949,pen,office supply,East,Missouri,East Emily,10,110,5,1045,666.11,378.89,Netbanking,Cancelled,"Best, Combs and Daniels",preston15@raymond-gardner.com,86,No,0
ord10039,11-03-2024,12-03-2024,John Andrews,cust4939,Corporate,prod287,sofa,furniture,West,Montana,Joelport,9,1267,20,9122.4,5482.16,3640.24,Cash,Cancelled,"Brown, Travis and Leblanc",robertadams@mccoy.com,77,No,0
ord10040,24-01-2025,29-01-2025,Sabrina Miller,cust9709,Corporate,prod221,soundbar,electronics,East,Delaware,Reillychester,4,6212,25,18636,13549.67,5086.33,UPI,Returned,Hensley-Fisher,mariocampos@hall.com,94,No,0
ord10041,17-03-2025,22-03-2025,Alexander Washington,cust2666,Corporate,prod474,office chair,furniture,South,Utah,Anaside,1,9859,10,8873.1,6387.03,2486.07,Cash,Delivered,Logan Inc,timothyreyes@watts.com,84,No,0
ord10042,29-11-2024,03-12-2024,Morgan Mitchell,cust3638,Home Office,prod398,study table,furniture,West,Alabama,Christopherview,5,8673,0,43365,35717.54,7647.46,UPI,Pending,King-Woodard,wcole@rodriguez-larson.com,29,No,0
ord10043,26-08-2024,29-08-2024,Gregory Browning,cust5899,Consumer,prod705,file-folder,office supply,East,Vermont,Anitamouth,4,3170,10,11412,8965.94,2446.06,Cash,Cancelled,Cherry-Kelly,dstanley@hall-porter.com,57,No,0
ord10044,31-08-2025,01-09-2025,Marc Norris,cust8045,Corporate,prod263,calculator,office supply,South,Wisconsin,North Brendaside,8,800,5,6080,4874.45,1205.55,Netbanking,Returned,"Green, Baker and Davis",rebecca49@johnson-kelly.com,25,No,0
ord10045,26-01-2026,30-01-2026,Paul James,cust9997,Consumer,prod824,mouse,electronics,East,New Jersey,North Phillip,3,4860,10,13122,8896.74,4225.26,Netbanking,Cancelled,Rogers Group,kmorton@powell.com,33,No,0
ord10046,18-06-2024,23-06-2024,Amanda Black,cust8075,Home Office,prod530,dryfruits,grocery,South,Tennessee,Millerfurt,7,7602,0,53214,45487.89,7726.11,Netbanking,Delivered,"Sexton, Gonzalez and Hess",jonathan88@cowan-doyle.com,28,No,0
ord10047,15-09-2024,19-09-2024,Stephanie Stout,cust2175,Corporate,prod798,cooking-oil,grocery,East,Mississippi,South Cody,10,7423,0,74230,66205.86,8024.14,Creditcard,Returned,Yoder-Ford,lopezluke@ford-carr.com,48,No,0
ord10048,19-12-2024,24-12-2024,Alexandra Martinez,cust4769,Consumer,prod843,calculator,office supply,East,Oklahoma,Port Antoniofort,4,7304,0,29216,21581.33,7634.67,Netbanking,Cancelled,"Hayes, Boyle and Holden",josegutierrez@hobbs.net,44,No,0
ord10049,13-10-2024,15-10-2024,Paula Newman,cust7029,Corporate,prod847,pen,office supply,East,Florida,Port Christianland,1,2675,25,2006.25,1231.69,774.56,UPI,Cancelled,"Lewis, Daugherty and Choi",alexander66@turner.com,60,No,0
ord10050,07-08-2025,08-08-2025,Samantha Johnson,cust2902,Corporate,prod516,notebook,office supply,South,Nebraska,New Lisaborough,1,1011,20,808.8,514.39,294.41,Creditcard,Pending,"Orr, Davis and Jackson",johnsalazar@ritter-mclaughlin.info,4,Yes,83
ord10051,24-11-2025,30-11-2025,Natalie Brown,cust9872,Home Office,prod273,study table,furniture,North,Mississippi,Baileyport,4,802,0,3208,2474.26,733.74,Creditcard,Delivered,Johnson-Blackburn,ftaylor@sanders.info,58,No,0
ord10052,22-10-2025,23-10-2025,Brandon Harrison,cust8681,Consumer,prod557,mobile,electronics,East,Nebraska,Garrettchester,10,6018,10,54162,45796.97,8365.03,Cash,Delivered,Baker-Best,kennethpearson@patton.com,82,No,0
ord10053,07-07-2024,08-07-2024,Daniel Knight,cust9147,Consumer,prod954,dryfruits,grocery,West,Minnesota,North Jacquelinemouth,3,8826,25,19858.5,16749.95,3108.55,Netbanking,Returned,Mcgrath-Duncan,martinezalexandra@frye.org,81,No,0
ord10054,10-11-2024,15-11-2024,John Davenport,cust4386,Corporate,prod302,study table,furniture,North,Washington,Michaelview,10,9365,20,74920,47670.88,27249.12,UPI,Delivered,Santos Ltd,parsonsmary@jones.net,61,No,0
ord10055,17-10-2024,18-10-2024,Linda Sanchez,cust7998,Corporate,prod830,pen,office supply,North,Hawaii,South Lauratown,4,8008,25,24024,14608.33,9415.67,Netbanking,Cancelled,Suarez-Smith,turnersandy@berg.net,56,No,0
ord10056,28-07-2024,02-08-2024,Jeffrey Wilson,cust1852,Corporate,prod243,laptop,electronics,West,New Jersey,West Crystal,4,6737,25,20211,16335.13,3875.87,Cash,Pending,"Black, Erickson and Jordan",carterkimberly@chapman.com,98,No,0
ord10057,18-05-2025,24-05-2025,Kristine Orozco,cust5241,Home Office,prod120,laptop,electronics,North,New York,Gordonton,4,4245,25,12735,11337.23,1397.77,Cash,Cancelled,Schroeder PLC,maldonadomichael@lewis.com,70,No,0
ord10058,05-12-2024,07-12-2024,Tracey Barber,cust9209,Corporate,prod265,dinning-table,furniture,South,Delaware,Bridgetfurt,9,6730,20,48456,34382.95,14073.05,Netbanking,Cancelled,Sutton-Walker,icline@wade.com,31,No,0
ord10059,16-12-2024,22-12-2024,John Payne,cust2380,Home Office,prod297,biscuits,grocery,North,Minnesota,Steveville,5,735,20,2940,2456.2,483.8,UPI,Returned,"Grant, Guerrero and Shea",kimjoseph@moore.com,2,Yes,46
ord10060,14-08-2025,16-08-2025,Nicholas Sandoval,cust6631,Consumer,prod854,pen,office supply,West,Indiana,Johnfort,8,5989,25,35934,28075.07,7858.93,Netbanking,Cancelled,Francis-Dennis,christopherblair@gilbert.org,39,No,0
ord10061,09-01-2026,11-01-2026,Brooke Simmons,cust2648,Corporate,prod261,biscuits,grocery,North,Kansas,Robertport,6,9564,25,43038,26445.51,16592.49,UPI,Returned,Walsh PLC,kimberlywright@stevenson-sharp.net,99,No,0
ord10062,02-11-2024,03-11-2024,Jonathan Herring,cust5031,Home Office,prod367,study table,furniture,North,Maine,New Laurie,4,4987,25,14961,13043.4,1917.6,Cash,Cancelled,Walsh-Ortega,brightsheri@thompson.com,54,No,0
ord10063,14-10-2025,20-10-2025,Alexandra Allison,cust9992,Consumer,prod914,laptop,electronics,South,Florida,South Brenda,8,7374,5,56042.4,50090.16,5952.24,Netbanking,Returned,"Blake, Smith and Salinas",christinecombs@johnson.biz,12,Yes,74
ord10064,30-04-2025,01-05-2025,Melanie Thompson,cust3186,Home Office,prod741,study table,furniture,East,Oklahoma,Hernandezton,10,8592,25,64440,52662.34,11777.66,Creditcard,Cancelled,"Patton, Snyder and Torres",mark82@oconnell.com,47,No,0
ord10065,05-06-2024,06-06-2024,Nathan Ramirez,cust3078,Corporate,prod659,ricebag,grocery,East,New Mexico,Lake Cynthia,4,6541,5,24855.8,17053.2,7802.6,Netbanking,Cancelled,Perez Ltd,diane02@mosley-collins.org,55,No,0
ord10066,21-12-2024,25-12-2024,Elizabeth Kennedy,cust7289,Consumer,prod288,stapler,office supply,South,New Mexico,Gomeztown,1,4975,0,4975,2986.61,1988.39,Cash,Cancelled,Clark Group,tinabrooks@adams.com,23,No,0
ord10067,12-04-2025,18-04-2025,Lance Parker,cust8279,Corporate,prod926,calculator,office supply,North,Washington,Port Michaelhaven,10,6021,20,48168,29214.35,18953.65,UPI,Pending,"Velazquez, Hansen and Turner",gonzalezvanessa@brooks-adams.org,27,No,0
ord10068,30-06-2024,02-07-2024,Jay Warner,cust7222,Consumer,prod346,dryfruits,grocery,North,Florida,Amyport,3,426,0,1278,1062.76,215.24,UPI,Delivered,Webb Inc,jill74@robinson.com,91,No,0
ord10069,21-05-2024,26-05-2024,Lauren Miller,cust4176,Home Office,prod281,notebook,office supply,East,California,West Julieton,8,6918,5,52576.8,35429.5,17147.3,Cash,Delivered,Webb Ltd,kelliott@cox-montgomery.com,76,No,0
ord10070,23-04-2025,27-04-2025,Whitney Lewis,cust6589,Corporate,prod600,pen,office supply,West,Wyoming,Port Jacobmouth,8,6450,25,38700,25990.1,12709.9,UPI,Cancelled,James and Sons,zkeller@knight.net,63,No,0
ord10071,02-12-2025,06-12-2025,Tara Sutton,cust6879,Corporate,prod544,notebook,office supply,North,Alabama,Laurenburgh,4,4599,0,18396,12849.21,5546.79,Cash,Cancelled,Carter PLC,sharonjohnson@matthews-clay.com,29,No,0
ord10072,12-08-2025,16-08-2025,Kelly Robertson,cust3555,Corporate,prod122,pen,office supply,East,Nevada,Debraberg,6,5545,5,31606.5,20177.34,11429.16,UPI,Pending,"Kelly, Johnson and Yoder",herbert66@frey-woodard.com,39,No,0
ord10073,15-02-2025,20-02-2025,Tammy Mills,cust2403,Home Office,prod492,headphones,electronics,West,Vermont,New Jenniferberg,9,3723,5,31831.65,19899.4,11932.25,Netbanking,Delivered,Becker-Cook,cjordan@hudson.net,85,No,0
ord10074,21-09-2025,28-09-2025,Sheila Horn,cust9327,Consumer,prod848,tablet,electronics,South,Massachusetts,New Alyssa,7,8275,25,43443.75,35706.36,7737.39,Cash,Pending,James LLC,hvasquez@long.com,74,No,0
ord10075,18-04-2025,23-04-2025,Nicholas Thomas,cust4079,Home Office,prod188,dryfruits,grocery,West,Delaware,Morganshire,5,8183,25,30686.25,26370.44,4315.81,Netbanking,Pending,Thompson-Sparks,sophiamccarthy@jones.net,41,No,0
ord10076,10-02-2025,12-02-2025,Mr. Brian Vance,cust1814,Consumer,prod463,keyboard,electronics,North,Alabama,Palmerfurt,10,8176,10,73584,44160.25,29423.75,UPI,Delivered,Higgins-Clark,jason96@keller.biz,75,No,0
ord10077,15-11-2025,20-11-2025,Andres Gonzalez,cust5950,Consumer,prod626,tablet,electronics,South,West Virginia,Michaelberg,9,7628,20,54921.6,37602.55,17319.05,UPI,Cancelled,Gonzalez and Sons,daniel57@taylor.net,35,No,0
ord10078,22-06-2024,25-06-2024,Lisa Hall,cust5487,Home Office,prod465,sofa,furniture,North,Florida,Johnfort,6,6611,5,37682.7,31554.59,6128.11,Netbanking,Pending,Johns-Richards,abigailschneider@green.net,37,No,0
ord10079,06-08-2024,09-08-2024,Jamie Kerr,cust4914,Home Office,prod810,calculator,office supply,West,Colorado,Porterton,2,1981,5,3763.9,2376.78,1387.12,Cash,Pending,Zimmerman-Thomas,ryanmunoz@ross.com,7,Yes,71
ord10080,24-08-2024,25-08-2024,Ricardo Dillon,cust6547,Consumer,prod991,sugar,grocery,East,Massachusetts,Matthewberg,1,4428,10,3985.2,3471.92,513.28,Netbanking,Pending,Hall LLC,emilylewis@glover.com,57,No,0
ord10081,20-06-2025,23-06-2025,Jamie Stanton,cust5879,Corporate,prod182,calculator,office supply,East,Alaska,Danielview,9,6699,0,60291,51330.65,8960.35,Cash,Pending,"Palmer, Jenkins and Mcdaniel",clarklisa@lynch.org,54,No,0
ord10082,29-08-2025,05-09-2025,Molly Gray,cust4567,Home Office,prod559,office chair,furniture,South,Missouri,Markfurt,2,8603,0,17206,10934.88,6271.12,UPI,Cancelled,"Walter, Edwards and Salinas",hectorharper@long-lane.com,5,Yes,69
ord10083,05-05-2024,08-05-2024,Laura Owens,cust1803,Consumer,prod148,study table,furniture,East,Oregon,Carterton,10,4182,20,33456,24597.14,8858.86,UPI,Delivered,Garcia-Melendez,laura03@brown.org,11,Yes,34
ord10084,12-04-2025,13-04-2025,Jordan Diaz,cust6816,Corporate,prod131,file-folder,office supply,North,Kentucky,Lake Kerry,9,7857,5,67177.35,41702.92,25474.43,Cash,Cancelled,Thompson-Lawson,sjohnson@conway.com,43,No,0
ord10085,01-03-2024,03-03-2024,Jennifer Mills MD,cust6405,Consumer,prod183,biscuits,grocery,West,Florida,Lake Ryanmouth,8,9413,0,75304,60317.77,14986.23,Creditcard,Pending,"Johnson, Johnson and Williams",ogarcia@smith.info,6,Yes,41
ord10086,15-02-2025,22-02-2025,Donna Daugherty,cust1049,Home Office,prod697,sugar,grocery,East,New Mexico,Brianview,10,1588,10,14292,8598.46,5693.54,Cash,Pending,York Inc,stephanie05@murphy.com,53,No,0
ord10087,01-10-2024,02-10-2024,Jason Small,cust6295,Home Office,prod992,cooking-oil,grocery,South,Washington,Jenniferhaven,1,5576,5,5297.2,4513.33,783.87,UPI,Pending,"Diaz, Holmes and Alexander",haley46@friedman.com,48,No,0
ord10088,21-03-2025,22-03-2025,Courtney Bennett DVM,cust5160,Consumer,prod572,soundbar,electronics,South,Indiana,Lake Mark,4,9575,10,34470,25728.2,8741.8,UPI,Returned,Harmon LLC,joel82@thomas.com,76,No,0
ord10089,22-03-2025,26-03-2025,Erica Hale,cust5227,Consumer,prod617,mobile,electronics,North,Arizona,Port Judy,2,9869,20,15790.4,10760.41,5029.99,Netbanking,Delivered,Mcgee-Fox,davisbrian@young-hall.net,3,Yes,86
ord10090,26-01-2025,30-01-2025,Cheryl Martinez,cust1732,Home Office,prod191,notebook,office supply,North,Kentucky,West Sarah,10,5093,0,50930,38694.62,12235.38,Cash,Delivered,Bradshaw-Smith,jason36@padilla.com,83,No,0
ord10091,06-06-2025,07-06-2025,Amber Bradshaw,cust4480,Home Office,prod336,notebook,office supply,West,Virginia,East Amandaside,6,3304,5,18832.8,13555.09,5277.71,Cash,Pending,"Lawrence, Greene and Thompson",marie26@west.net,55,No,0
ord10092,02-08-2025,09-08-2025,Ian Wilkerson,cust4268,Consumer,prod280,dryfruits,grocery,East,Colorado,Fosterport,7,2554,0,17878,14111.76,3766.24,Creditcard,Cancelled,"Watson, Rios and Gomez",george66@mercer.info,93,No,0
ord10093,20-02-2024,21-02-2024,Angela Fleming,cust1779,Home Office,prod955,juice-pack,grocery,South,Connecticut,Christineshire,3,2919,10,7881.3,4765.32,3115.98,Cash,Pending,"Andrews, Hart and Guerrero",colonlisa@lewis.com,73,No,0
ord10094,19-06-2025,24-06-2025,Ryan Ortiz,cust2926,Corporate,prod890,dryfruits,grocery,East,Oklahoma,Ryanport,9,4517,25,30489.75,23871.38,6618.37,Netbanking,Delivered,Rodriguez-Bennett,lukecunningham@murray.info,53,No,0
ord10095,08-10-2024,09-10-2024,Virginia Norman,cust8894,Corporate,prod553,juice-pack,grocery,West,Connecticut,Nicholastown,7,5893,10,37125.9,26571.65,10554.25,UPI,Cancelled,Miller-Williams,stephen33@jones.com,99,No,0
ord10096,16-06-2024,20-06-2024,David Mcbride,cust4310,Consumer,prod612,dryfruits,grocery,East,Texas,Josephmouth,7,3414,5,22703.1,18184.85,4518.25,Cash,Returned,Johnson-Powell,paul17@young.info,22,No,0
ord10097,11-07-2025,17-07-2025,Xavier Gardner,cust6001,Home Office,prod240,dinning-table,furniture,North,Virginia,Tracytown,6,5322,25,23949,18466.76,5482.24,Netbanking,Pending,Gamble PLC,brett79@rangel.com,44,No,0
ord10098,25-07-2024,27-07-2024,John Floyd,cust7979,Consumer,prod452,file-folder,office supply,South,Montana,Phamstad,3,6404,0,19212,12144,7068,UPI,Delivered,Becker-Grant,robert36@bryant-williams.com,42,No,0
ord10099,22-09-2024,28-09-2024,Francis Kelly,cust6643,Consumer,prod313,file-folder,office supply,North,Idaho,South Amandamouth,8,3140,5,23864,19783.21,4080.79,Cash,Pending,"Jones, Huynh and Monroe",jodi58@hardy-taylor.biz,43,No,0
ord10100,13-08-2025,20-08-2025,Jaclyn Pittman,cust1313,Consumer,prod553,soundbar,electronics,South,Colorado,West Nancyport,9,8749,5,74803.95,49392.63,25411.32,UPI,Returned,Gomez-Garcia,kholland@jackson-murphy.com,69,No,0
ord10101,21-04-2024,26-04-2024,Michelle Smith DDS,cust7037,Home Office,prod721,laptop,electronics,East,North Carolina,Ericafort,10,664,25,4980,4097.63,882.37,Cash,Pending,"Jackson, Williams and Taylor",yolandahogan@white-fowler.com,22,No,0
ord10102,10-03-2025,17-03-2025,Jesse Delacruz,cust6321,Corporate,prod423,mobile,electronics,East,Tennessee,Youngmouth,3,8330,5,23740.5,17921.46,5819.04,UPI,Returned,"Reed, Gutierrez and Johnson",thomas87@gray.com,57,No,0
ord10103,10-04-2025,15-04-2025,Holly Bennett,cust8855,Home Office,prod722,biscuits,grocery,East,Idaho,North Brett,7,4966,10,31285.8,24321.01,6964.79,Cash,Returned,Carney and Sons,earlclark@bright.org,16,Yes,71
ord10104,12-05-2025,14-05-2025,Ashley Roberts,cust3629,Home Office,prod706,tablet,electronics,North,Florida,Lake Douglas,8,3626,20,23206.4,20754.13,2452.27,Netbanking,Cancelled,Odom Inc,sbecker@cole.com,33,No,0
ord10105,26-08-2024,02-09-2024,Matthew Baker,cust3769,Home Office,prod114,sugar,grocery,South,Indiana,North Nathanielchester,4,9830,25,29490,18859.06,10630.94,Cash,Pending,Valencia PLC,nicolelopez@cisneros.com,59,No,0
ord10106,09-01-2026,10-01-2026,Thomas Williams,cust1410,Consumer,prod946,headphones,electronics,North,Tennessee,North Daniel,10,3057,0,30570,26619.48,3950.52,Cash,Returned,"Weaver, Gutierrez and Oliver",rhonda52@jones.com,90,No,0
ord10107,26-04-2025,28-04-2025,Steven Torres,cust6586,Consumer,prod639,notebook,office supply,East,South Dakota,Maryside,10,7804,5,74138,62215.51,11922.49,Cash,Delivered,Byrd-Ramos,isabella61@ingram.com,50,No,0
ord10108,13-06-2024,19-06-2024,Kimberly Adams,cust7061,Consumer,prod977,stapler,office supply,West,Iowa,East Philip,7,4552,25,23898,16667.41,7230.59,Netbanking,Cancelled,Taylor-Pacheco,danthomas@pitts-graves.com,78,No,0
ord10109,29-05-2025,03-06-2025,Carolyn Harvey,cust4585,Corporate,prod759,sofa,furniture,East,Alabama,Christopherport,6,7746,10,41828.4,37092.87,4735.53,UPI,Returned,"Garcia, Carlson and Jackson",mramsey@kelly.biz,8,Yes,43
ord10110,24-06-2025,28-06-2025,Kimberly King,cust1974,Home Office,prod898,mobile,electronics,South,Ohio,Erikamouth,1,642,20,513.6,427.83,85.77,Netbanking,Delivered,Martin PLC,johnbutler@gutierrez.biz,18,Yes,97
